Original Question,Rephrased Question,Answer A,Answer B,Answer C,Correct Choice
"Rolling-type flaring tools are used to flare X, X, and X tubing.","Rolling-type flaring tools are used to flare X, X, and X tubing.","Stainless steel, hard copper, mild steel.","Titanium, soft copper, corrosion resistant steel.","Soft copper, aluminum, brass.",C
What type of drawing line consists of alternating long and short lines?,What type of drawing line consists of alternating long and short lines?,Dimension.,Center.,Hidden.,B
Convert 7 to binary form.,Convert 7 to binary form.,0111,0011,1110,A
"What is meant by the term ""residual fuel""?","What is meant by the term ""residual fuel""?","A known amount of fuel left in the tanks, lines, and engine.","The fuel remaining in the tanks, lines, and engine after draining.","The fuel remaining in the tank, lines, and engine before draining.",B
"When calculating the new weight and balance for an aircraft, what is used to determine the operating CG range?","When calculating the new weight and balance for an aircraft, what is used to determine the operating CG range?",The data plate.,The Type Certificate Data Sheets.,The pilot information manual.,B
"If a fire develops in an engine during the starting procedure, you should","When a fire develops in an engine during the starting procedure, you should",discontinue the start attempt and allow the fireguard to extinguish the fire.,continue cranking to start the engine and extinguish the fire.,continue cranking and allow the fireguard to extinguish the fire.,B
Examples of units used in the conventional (U.S. or English) measurement include,Examples of units used in the conventional (U.S. or English) measurement include,"inch, meter, and gram.","inch, kilo, and liter.","inch, ounce, and pound.",C
The main rotor system on a helicopter is classified in three groups. Which of those listed is NOT one of these groups?,The main rotor system on a helicopter is classified in three groups. Which of those listed is NOT one of these groups?,The fully articulated rotor system.,The flexible-beam rotor system.,The semi-rigid rotor system.,B
"What does the acronym TSO mean regarding a type certificated aircraft part, material, component and/or process?","What does the acronym TSO mean regarding a type certificated aircraft part, material, component and/or process?",Training Specific Organization.,Type Supplement Original.,Technical Standard Order.,C
14 CFR Part 65 contains regulations regarding the certification of,14 CFR Part 65 contains regulations regarding the certification of,"pilots, flight Instructors, and ground instructors.",airmen other than flight crewmembers.,flight crewmembers other than pilots.,B
"If each cell, connected in series, equals 2 volts, how would a 12-cell lead acid battery be rated?","When each cell, connected in series, equals 2 volts, how would a 12-cell lead acid battery be rated?",24 volts.,12 volts.,6 volts.,A
Self-locking nuts may be used on aircraft provided that,Self-locking nuts may be used on aircraft provided that,the head of the bolt is safety wired.,they are installed with a lock washer.,the bolt or nut is not subject to rotation.,C
What factors strengthen a coil inductor?,What factors strengthen a coil inductor?,Limiting and separating the coils.,Adding and separating the coils.,Adding coils close together.,C
What is ATA iSpec 2200?,What is ATA iSpec 2200?,Standardized electronic documentation for aircraft models.,Fuel specifications for transport-category airplanes.,Airline transport catalog for aircraft parts.,A
